"direction_color","rowDate","rowDateRaw","rowDateTimestamp","last_close","last_open","last_max","last_min","volume","volumeRaw","change_precent","last_closeRaw","last_openRaw","last_maxRaw","last_minRaw","change_precentRaw"
"greenFont","Apr 24, 2025","1745452800","2025-04-24T00:00:00Z","398.80","384.00","399.80","381.45","14.88K","14882","3.38","398.79998779296875","384.00000000000000","399.79998779296875","381.45001220703125","3.3830169262394687"
"greenFont","Apr 23, 2025","1745366400","2025-04-23T00:00:00Z","385.75","375.50","390.55","374.50","14.10K","14104","3.49","385.75000000000000","375.50000000000000","390.54998779296875","374.50000000000000","3.487592219986586"
"greenFont","Apr 22, 2025","1745280000","2025-04-22T00:00:00Z","372.75","366.55","375.50","362.50","11.58K","11580","2.25","372.75000000000000","366.54998779296875","375.50000000000000","362.50000000000000","2.249351935704387"
"redFont","Apr 21, 2025","1745193600","2025-04-21T00:00:00Z","364.55","371.75","376.55","362.30","10.47K","10472","-2.16","364.54998779296875","371.75000000000000","376.54998779296875","362.29998779296875","-2.1604987060334135"
"redFont","Apr 17, 2025","1744848000","2025-04-17T00:00:00Z","372.60","375.05","378.45","367.20","12.50K","12503","-0.32","372.60000610351562","375.04998779296875","378.45001220703125","367.20001220703125","-0.3210223993152567"
"greenFont","Apr 16, 2025","1744761600","2025-04-16T00:00:00Z","373.80","366.00","376.75","362.05","12.91K","12907","1.81","373.79998779296875","366.00000000000000","376.75000000000000","362.04998779296875","1.8112471760953641"
"greenFont","Apr 15, 2025","1744675200","2025-04-15T00:00:00Z","367.15","360.80","370.40","360.80","19.85K","19845","2.41","367.14999389648438","360.79998779296875","370.39999389648438","360.79998779296875","2.4128295387683054"
"greenFont","Apr 14, 2025","1744588800","2025-04-14T00:00:00Z","358.50","357.50","363.85","352.10","19.26K","19261","0.22","358.50000000000000","357.50000000000000","363.85000610351562","352.10000610351562","0.22364768400000204"
"greenFont","Apr 11, 2025","1744329600","2025-04-11T00:00:00Z","357.70","345.95","360.70","341.60","23.38K","23383","4.33","357.70001220703125","345.95001220703125","360.70001220703125","341.60000610351562","4.331341939376256"
"greenFont","Apr 10, 2025","1744243200","2025-04-10T00:00:00Z","342.85","360.10","361.50","342.15","20.19K","20192","0.34","342.85000610351562","360.10000610351562","361.50000000000000","342.14999389648438","0.33655073321671697"
"redFont","Apr 09, 2025","1744156800","2025-04-09T00:00:00Z","341.70","341.15","353.75","325.20","28.74K","28737","-0.35","341.70001220703125","341.14999389648438","353.75000000000000","325.20001220703125","-0.3499509217884031"
"redFont","Apr 08, 2025","1744070400","2025-04-08T00:00:00Z","342.90","345.00","350.15","340.50","25.85K","25850","-0.55","342.89999389648438","345.00000000000000","350.14999389648438","340.50000000000000","-0.5510423328742126"
"redFont","Apr 07, 2025","1743984000","2025-04-07T00:00:00Z","344.80","362.50","364.50","338.60","37.08K","37079","-5.72","344.79998779296875","362.50000000000000","364.50000000000000","338.60000610351562","-5.71507348001687"
"redFont","Apr 04, 2025","1743724800","2025-04-04T00:00:00Z","365.70","386.55","389.35","364.90","24.92K","24921","-5.07","365.70001220703125","386.54998779296875","389.35000610351562","364.89999389648438","-5.074623697071707"
"redFont","Apr 03, 2025","1743638400","2025-04-03T00:00:00Z","385.25","386.40","391.00","376.90","16.45K","16445","-0.93","385.25000000000000","386.39999389648438","391.00000000000000","376.89999389648438","-0.9258084215015464"
"redFont","Apr 02, 2025","1743552000","2025-04-02T00:00:00Z","388.85","389.05","393.70","382.15","13.89K","13885","-0.05","388.85000610351562","389.04998779296875","393.70001220703125","382.14999389648438","-0.051402569265609224"
"greenFont","Apr 01, 2025","1743465600","2025-04-01T00:00:00Z","389.05","379.25","391.45","372.25","18.43K","18430","2.45","389.04998779296875","379.25000000000000","391.45001220703125","372.25000000000000","2.448976377345293"
